Time (msec),Boost Pressure actual (psi),Fine Learning Knock Correction (degrees),Engine Load (Calculated) (g/rev),Main Throttle Sensor (V),Manifold Relative Pressure (Corrected) (psi),Roughness Monitor Cylinder #1 (misfire count),Roughness Monitor Cylinder #2 (misfire count),IAM (multiplier),Engine Speed (rpm),Intake Air Temperature (F),Mass Airflow (g/s),A/F Sensor #1 (Lambda),Primary Wastegate Duty Cycle (%),Throttle Opening Angle (%)
0,9.58,0.00,0.80,1.24,-5.08,0,0,1.0000,2939,66,39.01,1.00,52.94,20.78
54,10.30,0.00,0.92,1.32,-4.35,0,0,1.0000,2941,66,45.11,1.01,52.94,23.14
100,11.32,0.00,1.05,1.40,-3.34,0,0,1.0000,2949,66,51.83,1.02,52.94,25.88
145,12.19,0.00,1.12,1.48,-2.47,0,0,1.0000,2937,66,54.96,1.02,61.96,28.24
191,13.06,0.00,1.19,1.58,-1.60,0,0,1.0000,2955,64,58.66,1.02,61.96,31.37
236,13.78,0.00,1.27,1.70,-0.87,0,0,1.0000,2939,64,62.35,1.02,62.75,34.51
281,14.36,0.00,1.30,1.80,-0.29,0,0,1.0000,2960,64,64.14,0.98,62.75,38.04
334,14.95,0.00,1.33,1.92,0.29,0,0,1.0000,2945,64,65.21,0.96,62.35,41.96
388,15.38,0.00,1.36,2.10,0.73,0,0,1.0000,2942,64,66.63,0.93,62.35,46.67
434,15.82,0.00,1.41,2.26,1.16,0,0,1.0000,2955,64,69.62,0.95,66.67,52.55
486,16.40,0.00,1.46,2.46,1.74,0,0,1.0000,2958,64,71.92,0.97,66.67,58.04
541,16.54,0.00,1.45,2.74,1.89,0,0,1.0000,2984,64,72.12,0.95,68.24,67.45
575,16.83,0.00,1.53,3.06,2.18,0,0,1.0000,2966,64,75.48,0.93,68.24,76.08
620,17.12,0.00,1.54,3.34,2.47,0,0,1.0000,2984,64,76.52,0.91,68.24,86.67
672,17.56,0.00,1.57,3.78,2.90,0,0,1.0000,2991,64,78.15,0.92,68.24,100.00
718,17.85,0.00,1.59,3.94,3.19,0,0,1.0000,2978,64,78.98,0.95,68.24,100.00
763,18.14,0.00,1.63,3.94,3.48,0,0,1.0000,3018,64,82.02,0.98,68.24,100.00
808,18.43,0.00,1.64,3.94,3.77,0,0,1.0000,2995,64,81.81,0.96,68.24,100.00
854,18.72,0.00,1.73,3.94,4.06,0,0,1.0000,2991,64,86.38,0.94,68.24,100.00
909,19.01,0.00,1.73,3.94,4.35,0,0,1.0000,3013,64,86.87,0.91,68.24,100.00
945,19.44,0.00,1.79,3.94,4.79,0,0,1.0000,3011,64,89.92,0.89,68.24,100.00
982,19.73,0.00,1.78,3.94,5.08,0,0,1.0000,3036,64,90.18,0.88,68.24,100.00
1028,20.02,0.00,1.79,3.94,5.37,0,0,1.0000,3017,64,90.15,0.86,68.24,100.00
1074,20.46,0.00,1.84,3.94,5.80,0,0,1.0000,3025,64,92.85,0.86,68.24,100.00
1119,20.75,0.00,1.87,3.94,6.09,0,0,1.0000,3050,64,94.99,0.85,68.24,100.00
1162,21.04,0.00,1.94,3.94,6.38,0,0,1.0000,3060,64,98.77,0.84,68.24,100.00
1215,21.47,0.00,2.00,3.94,6.82,0,0,1.0000,3047,64,101.47,0.83,68.24,100.00
1260,21.91,0.00,2.03,3.94,7.25,0,0,1.0000,3047,64,103.17,0.81,68.24,100.00
1305,22.05,0.00,2.09,3.94,7.40,0,0,1.0000,3079,64,107.23,0.80,68.24,100.00
1351,22.64,0.00,2.12,3.94,7.98,0,0,1.0000,3074,64,108.80,0.79,68.24,100.00
1388,22.93,0.00,2.15,3.94,8.27,0,0,1.0000,3095,64,110.89,0.77,68.24,100.00
1443,23.36,0.00,2.21,3.94,8.71,0,0,1.0000,3071,64,113.21,0.76,68.24,100.00
1507,23.80,0.00,2.24,3.94,9.14,0,0,1.0000,3089,64,115.32,0.76,68.24,100.00
1552,24.09,0.00,2.33,3.94,9.43,0,0,1.0000,3128,64,121.41,0.76,68.24,100.00
1597,24.96,0.00,2.36,3.94,10.30,0,0,1.0000,3134,64,123.05,0.76,67.84,100.00
1643,25.39,0.00,2.43,3.94,10.74,0,0,1.0000,3104,64,125.64,0.76,67.84,100.00
1698,25.54,0.00,2.46,3.94,10.88,0,0,1.0000,3136,64,128.66,0.76,68.24,100.00
1731,26.12,0.00,2.51,3.94,11.46,0,0,1.0000,3159,64,131.91,0.76,68.24,100.00
1784,26.70,0.00,2.50,3.94,12.04,0,0,1.0000,3154,64,131.30,0.76,68.24,100.00
1829,27.28,0.00,2.59,3.94,12.62,0,0,1.0000,3144,64,135.90,0.76,68.24,100.00
1872,27.42,0.00,2.55,3.94,12.77,0,0,1.0000,3173,64,134.68,0.76,68.24,100.00
1918,28.15,0.00,2.61,3.94,13.49,0,0,1.0000,3160,64,137.39,0.76,68.24,100.00
1963,28.58,0.00,2.62,3.94,13.93,0,0,1.0000,3179,64,138.61,0.76,68.24,100.00
2015,28.58,0.00,2.72,3.94,13.93,0,0,1.0000,3209,64,145.32,0.76,68.24,100.00
2068,29.16,0.00,2.75,3.94,14.51,0,0,1.0000,3214,64,147.22,0.76,68.24,100.00
2113,29.75,0.00,2.74,3.94,15.09,0,0,1.0000,3223,64,147.29,0.76,68.24,100.00
2156,30.33,0.00,2.90,3.94,15.67,0,0,1.0000,3196,64,154.50,0.76,68.24,100.00
2190,30.91,0.00,2.86,3.94,16.25,0,0,1.0000,3234,64,154.21,0.76,68.24,100.00
2235,31.20,0.00,2.87,3.94,16.54,0,0,1.0000,3253,64,155.55,0.76,64.71,100.00
