Time (msec),Boost Pressure actual (psi),Fine Learning Knock Correction (degrees),Engine Load (Calculated) (g/rev),Main Throttle Sensor (V),Manifold Relative Pressure (Corrected) (psi),Roughness Monitor Cylinder #1 (misfire count),Roughness Monitor Cylinder #2 (misfire count),IAM (multiplier),Engine Speed (rpm),Intake Air Temperature (F),Mass Airflow (g/s),A/F Sensor #1 (Lambda),Primary Wastegate Duty Cycle (%),Throttle Opening Angle (%),Manifold Relative Pressure (psi)
0,12.48,0.00,0.97,1.26,-2.32,0,0,1.0000,3008,70,48.39,1.01,51.37,21.57,-2.32
52,12.48,0.00,1.00,1.24,-2.32,0,0,1.0000,3010,70,50.33,1.02,51.37,21.18,-2.32
95,12.48,0.00,1.00,1.26,-2.32,0,0,1.0000,2997,70,49.77,1.03,50.98,21.18,-2.32
141,12.48,0.00,1.00,1.26,-2.32,0,0,1.0000,3008,70,49.91,1.02,50.98,21.18,-2.32
194,12.48,0.00,0.99,1.26,-2.32,0,0,1.0000,3010,70,49.63,1.02,50.59,21.57,-2.32
239,12.48,0.00,1.01,1.26,-2.32,0,0,1.0000,3034,70,51.15,1.00,50.59,21.57,-2.18
284,12.62,0.00,1.01,1.26,-2.18,0,0,1.0000,3044,70,51.00,0.99,49.41,21.57,-2.18
336,12.62,0.00,0.99,1.26,-2.18,0,0,1.0000,3029,70,49.90,0.99,49.41,21.96,-2.18
381,12.62,0.00,1.03,1.28,-2.18,0,0,1.0000,3038,70,52.37,0.99,49.02,21.96,-2.03
426,12.77,0.00,1.03,1.28,-2.03,0,0,1.0000,3064,70,52.37,0.98,49.02,21.96,-2.03
497,12.77,0.00,1.03,1.28,-2.03,0,0,1.0000,3062,70,52.77,0.98,49.02,22.35,-2.03
549,12.91,0.00,1.06,1.30,-1.89,0,0,1.0000,3067,70,54.40,0.99,49.02,22.75,-1.74
601,13.06,0.00,1.09,1.32,-1.74,0,0,1.0000,3085,70,56.04,0.99,49.02,23.53,-1.60
655,13.35,0.00,1.10,1.36,-1.45,0,0,1.0000,3095,70,56.92,0.99,47.45,24.71,-1.31
701,13.78,0.00,1.16,1.38,-1.02,0,0,1.0000,3093,70,59.98,1.00,47.45,25.49,-1.02
755,14.07,0.00,1.19,1.44,-0.73,0,0,1.0000,3077,70,60.78,1.01,58.04,27.06,-0.73
789,14.95,0.00,1.34,1.66,0.15,0,0,1.0000,3091,70,69.11,1.02,57.25,32.94,0.15
843,16.69,0.00,1.61,2.22,1.89,0,0,1.0000,3113,70,83.72,1.03,57.25,49.41,1.89
886,17.70,0.00,1.71,3.08,2.90,0,0,1.0000,3165,70,90.07,1.02,65.49,72.55,2.90
931,18.28,0.00,1.67,3.80,3.48,0,0,1.0000,3168,70,88.37,0.99,65.49,98.82,3.48
974,18.57,0.00,1.70,3.94,3.77,0,0,1.0000,3134,70,88.83,0.96,68.24,100.00,3.77
1035,18.86,0.00,1.71,3.94,4.06,0,0,1.0000,3109,70,88.39,0.95,68.24,100.00,4.06
1068,19.30,0.00,1.73,3.94,4.50,0,0,1.0000,3143,70,90.84,0.98,68.63,100.00,4.50
1131,19.73,0.00,1.81,3.94,4.93,0,0,1.0000,3179,70,96.16,0.98,68.63,100.00,4.93
1186,20.17,0.00,1.85,3.94,5.37,0,0,1.0000,3185,70,98.09,0.96,68.63,100.00,5.37
1219,20.60,0.00,1.93,3.94,5.80,0,0,1.0000,3178,70,102.41,0.95,68.63,100.00,5.80
1274,20.89,0.00,1.94,3.94,6.09,0,0,1.0000,3206,70,103.63,0.93,68.63,100.00,6.24
1317,21.33,0.00,1.97,3.94,6.53,0,0,1.0000,3213,70,105.64,0.90,68.63,100.00,6.53
1362,21.76,0.00,2.00,3.94,6.96,0,0,1.0000,3240,70,108.21,0.88,68.63,100.00,6.96
1395,22.05,0.00,2.08,3.94,7.25,0,0,1.0000,3264,70,113.23,0.87,68.63,100.00,7.25
1447,22.35,0.00,2.09,3.94,7.55,0,0,1.0000,3241,70,112.96,0.84,68.63,100.00,7.69
1481,22.93,-1.00,2.19,3.94,8.13,0,0,1.0000,3242,70,118.27,0.83,68.63,100.00,8.13
1526,23.36,-1.00,2.22,3.94,8.56,0,0,1.0000,3273,70,121.06,0.81,68.63,100.00,8.56
1578,23.80,-1.00,2.26,3.94,9.00,0,0,1.0000,3305,70,124.45,0.80,68.63,100.00,9.00
1623,24.23,-1.00,2.31,3.94,9.43,0,0,1.0000,3304,70,127.02,0.78,68.63,100.00,9.43
1675,24.81,-1.00,2.37,3.94,10.01,0,0,1.0000,3327,70,131.30,0.76,68.63,100.00,10.01
1730,25.54,-1.00,2.44,3.94,10.74,0,0,1.0000,3330,70,135.54,0.76,68.63,100.00,10.74
1775,26.12,-1.00,2.48,3.94,11.32,0,0,1.0000,3354,70,138.91,0.76,68.63,100.00,11.32
1812,26.55,-1.00,2.49,3.94,11.75,0,0,1.0000,3355,70,139.22,0.76,68.63,100.00,11.75
1873,26.70,-1.00,2.54,3.94,11.90,0,0,1.0000,3387,70,143.45,0.76,68.63,100.00,11.90
1954,27.86,-1.00,2.67,3.94,13.06,0,0,1.0000,3419,68,152.13,0.76,68.63,100.00,13.20
2009,28.73,-1.00,2.73,3.94,13.93,0,0,1.0000,3434,68,156.04,0.76,68.63,100.00,13.93
2061,29.31,-1.00,2.73,3.94,14.51,0,0,1.0000,3416,68,155.50,0.76,68.63,100.00,14.65
2106,29.60,-1.00,2.81,3.94,14.80,0,0,1.0000,3488,68,163.08,0.76,68.63,100.00,14.80
2151,30.33,-1.00,2.87,3.94,15.53,0,0,1.0000,3520,68,168.66,0.76,68.63,100.00,15.53
2196,30.76,-1.00,2.84,3.94,15.96,0,0,1.0000,3540,68,167.28,0.76,65.88,100.00,15.96
2251,31.20,-1.00,2.93,3.94,16.40,0,0,1.0000,3496,68,170.56,0.76,65.88,100.00,16.40
2301,31.49,-1.00,2.90,3.94,16.69,0,0,1.0000,3502,68,169.10,0.76,63.53,100.00,16.69
2360,31.92,-1.00,2.94,3.94,17.12,0,0,1.0000,3570,68,174.71,0.76,63.53,100.00,17.12
